chr10	101000000	101500000
chr10	103000000	103500000
chr10	103500000	104000000
chr10	10500000	11000000
chr10	106500000	107000000
chr10	109500000	110000000
chr10	116000000	116500000
chr10	117500000	118000000
chr10	121000000	121500000
chr10	126000000	126500000
chr10	128500000	129000000
chr10	130500000	131000000
chr10	14500000	15000000
chr10	19000000	19500000
chr10	2000000	2500000
chr10	23000000	23500000
chr10	2500000	3000000
chr10	27500000	28000000
chr10	34000000	34500000
chr10	4500000	5000000
chr10	48500000	49000000
chr10	51500000	52000000
chr10	55500000	56000000
chr10	61500000	62000000
chr10	67500000	68000000
chr10	92000000	92500000
chr11	10000000	10500000
chr11	101000000	101500000
chr11	103000000	103500000
chr11	103500000	104000000
chr11	104500000	105000000
chr11	109000000	109500000
chr11	111000000	111500000
chr11	123000000	123500000
chr11	126500000	127000000
chr11	127500000	128000000
chr11	129500000	130000000
chr11	131000000	131500000
chr11	131500000	132000000
chr11	132000000	132500000
chr11	134000000	134500000
chr11	16500000	17000000
chr11	21000000	21500000
chr11	21500000	22000000
chr11	27000000	27500000
chr11	33500000	34000000
chr11	34000000	34500000
chr11	36000000	36500000
chr11	37000000	37500000
chr11	66500000	67000000
chr11	68500000	69000000
chr11	79500000	80000000
chr11	91000000	91500000
chr11	93500000	94000000
chr12	1000000	1500000
chr12	100500000	101000000
chr12	105000000	105500000
chr12	106500000	107000000
chr12	11500000	12000000
chr12	128000000	128500000
chr12	19000000	19500000
chr12	21000000	21500000
chr12	47500000	48000000
chr12	48000000	48500000
chr12	55500000	56000000
chr12	6000000	6500000
chr12	61500000	62000000
chr12	62000000	62500000
chr12	72500000	73000000
chr12	73000000	73500000
chr12	73500000	74000000
chr12	74000000	74500000
chr12	76000000	76500000
chr12	76500000	77000000
chr12	82000000	82500000
chr12	87000000	87500000
chr12	91500000	92000000
chr12	93000000	93500000
chr12	95000000	95500000
chr12	99500000	100000000
chr13	100500000	101000000
chr13	106500000	107000000
chr13	107000000	107500000
chr13	112500000	113000000
chr13	30500000	31000000
chr13	32500000	33000000
chr13	33000000	33500000
chr13	45500000	46000000
chr13	47000000	47500000
chr13	48000000	48500000
chr13	49000000	49500000
chr13	52500000	53000000
chr13	53500000	54000000
chr13	62500000	63000000
chr13	63500000	64000000
chr13	64000000	64500000
chr13	80000000	80500000
chr13	87500000	88000000
chr13	88500000	89000000
chr13	93000000	93500000
chr13	95500000	96000000
chr13	96000000	96500000
chr13	96500000	97000000
chr14	100000000	100500000
chr14	102500000	103000000
chr14	21500000	22000000
chr14	35000000	35500000
chr14	38500000	39000000
chr14	42500000	43000000
chr14	43000000	43500000
chr14	45000000	45500000
chr14	54500000	55000000
chr14	68000000	68500000
chr14	68500000	69000000
chr14	69000000	69500000
chr14	70000000	70500000
chr14	74500000	75000000
chr14	81000000	81500000
chr15	23500000	24000000
chr15	25500000	26000000
chr15	26000000	26500000
chr15	27000000	27500000
chr15	52000000	52500000
chr15	58500000	59000000
chr15	78500000	79000000
chr15	81500000	82000000
chr15	87500000	88000000
chr15	91500000	92000000
chr15	93000000	93500000
chr16	10000000	10500000
chr16	19000000	19500000
chr16	24000000	24500000
chr16	51000000	51500000
chr16	53000000	53500000
chr16	6000000	6500000
chr16	61000000	61500000
chr16	6500000	7000000
chr16	65500000	66000000
chr16	66500000	67000000
chr16	67000000	67500000
chr16	80000000	80500000
chr16	81500000	82000000
chr16	86500000	87000000
chr16	87500000	88000000
chr17	12500000	13000000
chr17	28000000	28500000
chr17	28500000	29000000
