chr1	16000000	16500000
chr8	141500000	142000000
chr12	111000000	111500000
chr1	11500000	12000000
chr19	1500000	2000000
chr9	135500000	136000000
chr9	134000000	134500000
chr4	7000000	7500000
chr15	88000000	88500000
chr8	142500000	143000000
chr1	37000000	37500000
chr19	5000000	5500000
chr17	6000000	6500000
chr4	1500000	2000000
chr9	129000000	129500000
chr19	7500000	8000000
chr22	44500000	45000000
chr10	86000000	86500000
chr20	62000000	62500000
chr22	43000000	43500000
chr22	30000000	30500000
chr4	6000000	6500000
chr6	168000000	168500000
chr1	19000000	19500000
chr17	79500000	80000000
chr19	50500000	51000000
chr2	120500000	121000000
chr1	2000000	2500000
chr12	113500000	114000000
chr10	133000000	133500000
chr22	48500000	49000000
chr8	139500000	140000000
chr6	34000000	34500000
chr20	48500000	49000000
chr11	69000000	69500000
chr22	37000000	37500000
chr1	156500000	157000000
chr1	43000000	43500000
chr7	151000000	151500000
chr9	126500000	127000000
chr6	39000000	39500000
chr14	94500000	95000000
chr1	3000000	3500000
chr7	132000000	132500000
chr21	44500000	45000000
chr1	36500000	37000000
chr9	133500000	134000000
chr4	500000	1000000
chr17	79000000	79500000
chr9	136500000	137000000
chr1	9000000	9500000
chr10	70500000	71000000
chr7	2500000	3000000
chr20	24500000	25000000
chr19	29000000	29500000
chr2	240000000	240500000
chr1	228000000	228500000
chr16	87500000	88000000
chr2	239500000	240000000
chr17	74500000	75000000
chr11	119500000	120000000
chr9	136000000	136500000
chr16	88500000	89000000
chr10	124000000	124500000
chr9	137000000	137500000
chr16	66000000	66500000
chr20	63000000	63500000
chr1	4500000	5000000
chr1	6000000	6500000
chr16	49500000	50000000
chr12	124000000	124500000
chr11	75000000	75500000
chr10	132000000	132500000
chr4	8000000	8500000
chr9	133000000	133500000
chr22	44000000	44500000
chr6	33500000	34000000
chr3	127000000	127500000
chr11	44500000	45000000
chr12	132000000	132500000
chr16	85000000	85500000
chr20	63500000	64000000
chr15	74000000	74500000
chr7	1000000	1500000
chr4	1000000	1500000
chr17	75500000	76000000
chr17	3500000	4000000
chr10	79000000	79500000
chr11	64500000	65000000
chr19	35500000	36000000
chr16	89500000	90000000
chr5	179000000	179500000
chr12	52000000	52500000
