"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","complement component C3b binding","GO:0001851","true","0.00023219152800580604","3.634153630452107","11","651","6","20196","ENSG00000000971,ENSG00000080910,ENSG00000116785,ENSG00000134365,ENSG00000134389,ENSG00000244414"
"GO:MF","opsonin binding","GO:0001846","false","0.020691152363771198","1.6842153212583653","21","651","6","20196","ENSG00000000971,ENSG00000080910,ENSG00000116785,ENSG00000134365,ENSG00000134389,ENSG00000244414"
"GO:MF","G protein-coupled purinergic nucleotide receptor activity","GO:0045028","true","0.041394974291120525","1.3830523827951449","15","651","5","20196","ENSG00000138271,ENSG00000169313,ENSG00000174944,ENSG00000174946,ENSG00000181631"
"GO:BP","anatomical structure morphogenesis","GO:0009653","true","0.00002217750748633927","4.654087265479757","2692","656","135","21017","ENSG00000138166,ENSG00000150593,ENSG00000203867,ENSG00000077943,ENSG00000148516,ENSG00000165322,ENSG00000099250,ENSG00000150093,ENSG00000150347,ENSG00000165323,ENSG00000149972,ENSG00000111245,ENSG00000204852,ENSG00000069431,ENSG00000121361,ENSG00000139132,ENSG00000151746,ENSG00000188906,ENSG00000139263,ENSG00000067715,ENSG00000111046,ENSG00000111049,ENSG00000139304,ENSG00000139220,ENSG00000197614,ENSG00000111145,ENSG00000139687,ENSG00000165588,ENSG00000100625,ENSG00000126778,ENSG00000184302,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000248905,ENSG00000159251,ENSG00000166947,ENSG00000069667,ENSG00000171956,ENSG00000182718,ENSG00000103494,ENSG00000132205,ENSG00000170558,ENSG00000141431,chr18:52500000:53000000,ENSG00000198796,ENSG00000101680,ENSG00000071991,ENSG00000173482,ENSG00000017797,ENSG00000128791,ENSG00000116132,ENSG00000120370,ENSG00000121454,ENSG00000180875,ENSG00000153936,ENSG00000143032,ENSG00000214078,ENSG00000154645,ENSG00000170417,ENSG00000163092,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000128713,ENSG00000128714,ENSG00000144320,ENSG00000170166,ENSG00000170178,ENSG00000174279,ENSG00000175879,ENSG00000078018,ENSG00000153823,ENSG00000115053,ENSG00000135914,ENSG00000134121,ENSG00000170017,ENSG00000169760,ENSG00000172578,ENSG00000073803,ENSG00000174013,ENSG00000180370,ENSG00000077092,ENSG00000169855,ENSG00000080224,ENSG00000145362,ENSG00000174607,ENSG00000109705,ENSG00000164161,ENSG00000164107,ENSG00000145242,ENSG00000064651,ENSG00000138829,ENSG00000091010,ENSG00000113302,ENSG00000176788,ENSG00000145526,ENSG00000113100,ENSG00000168621,ENSG00000070193,ENSG00000164283,ENSG00000081189,ENSG00000112367,ENSG00000146374,ENSG00000196569,ENSG00000112319,ENSG00000135541,ENSG00000069122,ENSG00000096696,ENSG00000153162,ENSG00000111799,ENSG00000196586,ENSG00000184486,ENSG00000189056,ENSG00000128536,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000157240,ENSG00000005981,ENSG00000006377,ENSG00000105880,ENSG00000176406,ENSG00000164935,ENSG00000169946,ENSG00000170961,ENSG00000156687,ENSG00000156103,ENSG00000041982,ENSG00000137055,ENSG00000135046,ENSG00000099139,ENSG00000153707"
"GO:BP","generation of neurons","GO:0048699","false","0.000024496037114895146","4.610904168628916","1517","656","88","21017","ENSG00000108061,ENSG00000148516,ENSG00000099250,ENSG00000150093,ENSG00000165323,ENSG00000149972,ENSG00000186298,ENSG00000204852,ENSG00000188906,ENSG00000067715,ENSG00000139304,ENSG00000139220,ENSG00000139687,ENSG00000150361,ENSG00000168348,ENSG00000139915,ENSG00000165588,ENSG00000100625,ENSG00000126778,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000069667,ENSG00000171956,ENSG00000103494,ENSG00000170558,chr18:52500000:53000000,ENSG00000196628,ENSG00000101680,ENSG00000173482,ENSG00000116132,ENSG00000121454,ENSG00000172260,ENSG00000143032,ENSG00000214078,ENSG00000154645,ENSG00000154654,ENSG00000128645,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000078018,ENSG00000162928,ENSG00000134121,ENSG00000170017,ENSG00000152580,ENSG00000169760,ENSG00000073803,ENSG00000174013,ENSG00000180370,ENSG00000144724,ENSG00000183662,ENSG00000169855,ENSG00000080224,ENSG00000174607,ENSG00000164161,ENSG00000170390,ENSG00000164107,ENSG00000150471,ENSG00000145242,ENSG00000134986,ENSG00000091010,ENSG00000168621,ENSG00000081189,ENSG00000112367,ENSG00000196569,ENSG00000135541,ENSG00000153292,ENSG00000153162,ENSG00000112697,ENSG00000196586,ENSG00000184486,ENSG00000189056,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000157240,ENSG00000105880,ENSG00000176406,ENSG00000147650,ENSG00000156687,ENSG00000104320,ENSG00000041982,ENSG00000078725,ENSG00000137055,ENSG00000153707"
"GO:BP","neurogenesis","GO:0022008","false","0.00003440098773925002","4.463429087557906","1746","656","97","21017","ENSG00000108061,ENSG00000148516,ENSG00000099250,ENSG00000150093,ENSG00000165323,ENSG00000149972,ENSG00000186298,ENSG00000204852,ENSG00000188906,ENSG00000067715,ENSG00000139304,ENSG00000139220,ENSG00000139687,ENSG00000150361,ENSG00000168348,ENSG00000139915,ENSG00000165588,ENSG00000100625,ENSG00000126778,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000069667,ENSG00000171956,ENSG00000182718,ENSG00000103494,ENSG00000170558,chr18:52500000:53000000,ENSG00000196628,ENSG00000101680,ENSG00000173482,ENSG00000116132,ENSG00000121454,ENSG00000123080,ENSG00000172260,ENSG00000143032,ENSG00000214078,ENSG00000154645,ENSG00000154654,ENSG00000128645,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000078018,ENSG00000162928,ENSG00000134121,ENSG00000170017,ENSG00000152580,ENSG00000169313,ENSG00000169760,ENSG00000073803,ENSG00000174004,ENSG00000174013,ENSG00000180370,ENSG00000077092,ENSG00000144724,ENSG00000183662,ENSG00000169855,ENSG00000080224,ENSG00000174607,ENSG00000164161,ENSG00000170390,ENSG00000164107,ENSG00000150471,ENSG00000145242,ENSG00000134986,ENSG00000091010,ENSG00000168621,ENSG00000070193,ENSG00000081189,ENSG00000112367,ENSG00000196569,ENSG00000118513,ENSG00000135541,ENSG00000153292,ENSG00000153162,ENSG00000112697,ENSG00000196586,ENSG00000184486,ENSG00000189056,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000008277,ENSG00000157240,ENSG00000105880,ENSG00000176406,ENSG00000147650,ENSG00000156687,ENSG00000104320,ENSG00000041982,ENSG00000078725,ENSG00000137055,ENSG00000135046,ENSG00000153707"
"GO:BP","system development","GO:0048731","false","0.00006274188713864274","4.202442422814341","3985","656","181","21017","ENSG00000108061,ENSG00000150593,ENSG00000203867,ENSG00000077943,ENSG00000148516,ENSG00000099250,ENSG00000150093,ENSG00000150347,ENSG00000165323,ENSG00000149972,ENSG00000111245,ENSG00000186298,ENSG00000204852,ENSG00000052126,ENSG00000069431,ENSG00000121361,ENSG00000188906,ENSG00000156076,ENSG00000067715,ENSG00000111049,ENSG00000139304,ENSG00000139220,ENSG00000111732,ENSG00000197614,ENSG00000083782,ENSG00000111144,ENSG00000111145,ENSG00000185950,ENSG00000136156,ENSG00000139687,ENSG00000118946,ENSG00000150361,ENSG00000092148,ENSG00000151320,ENSG00000168348,ENSG00000139915,ENSG00000165588,ENSG00000020426,ENSG00000100625,ENSG00000126778,ENSG00000184302,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000248905,ENSG00000159251,ENSG00000067369,ENSG00000166947,ENSG00000069667,ENSG00000171956,ENSG00000182718,ENSG00000103494,ENSG00000078328,ENSG00000065559,ENSG00000101596,ENSG00000132205,ENSG00000170558,chr18:52500000:53000000,ENSG00000196628,ENSG00000198796,ENSG00000101680,ENSG00000173482,ENSG00000128791,ENSG00000178127,ENSG00000116132,ENSG00000121454,ENSG00000116962,ENSG00000174371,ENSG00000123080,ENSG00000172260,ENSG00000153936,ENSG00000143032,ENSG00000214078,ENSG00000182621,ENSG00000154645,ENSG00000154654,ENSG00000136531,ENSG00000163092,ENSG00000128645,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000128713,ENSG00000128714,ENSG00000144320,ENSG00000170166,ENSG00000170178,ENSG00000175879,ENSG00000078018,ENSG00000115053,ENSG00000135914,ENSG00000183023,ENSG00000162928,ENSG00000162929,ENSG00000198369,ENSG00000134121,ENSG00000114423,ENSG00000170017,ENSG00000181744,ENSG00000152580,ENSG00000169313,ENSG00000169760,ENSG00000073803,ENSG00000187068,ENSG00000163961,ENSG00000174004,ENSG00000174013,ENSG00000180370,ENSG00000077092,ENSG00000175928,ENSG00000144724,ENSG00000183662,ENSG00000169855,ENSG00000080224,ENSG00000145362,ENSG00000174607,ENSG00000138650,ENSG00000109705,ENSG00000164161,ENSG00000170390,ENSG00000038295,ENSG00000164107,ENSG00000179059,ENSG00000151834,ENSG00000150471,ENSG00000145242,ENSG00000134986,ENSG00000064651,ENSG00000138829,ENSG00000091010,ENSG00000113302,ENSG00000176788,ENSG00000113100,ENSG00000168621,ENSG00000070193,ENSG00000164283,ENSG00000081189,ENSG00000112367,ENSG00000146374,ENSG00000196569,ENSG00000118513,ENSG00000135541,ENSG00000069122,ENSG00000153292,ENSG00000096696,ENSG00000153162,ENSG00000112697,ENSG00000196586,ENSG00000184486,ENSG00000189056,ENSG00000128573,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000008277,ENSG00000157240,ENSG00000005981,ENSG00000006377,ENSG00000105880,ENSG00000231764,ENSG00000176406,ENSG00000147650,ENSG00000169946,chr8:115000000:115500000,ENSG00000187955,ENSG00000170961,ENSG00000156687,ENSG00000156103,ENSG00000104320,ENSG00000095209,ENSG00000106692,ENSG00000186051,ENSG00000041982,ENSG00000078725,ENSG00000096872,ENSG00000137055,ENSG00000135046,ENSG00000099139,ENSG00000153707"
"GO:BP","neuron development","GO:0048666","false","0.00028474589281101933","3.5455425314889837","1170","656","70","21017","ENSG00000108061,ENSG00000099250,ENSG00000150093,ENSG00000165323,ENSG00000149972,ENSG00000204852,ENSG00000188906,ENSG00000067715,ENSG00000139304,ENSG00000139220,ENSG00000139687,ENSG00000150361,ENSG00000165588,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000171956,ENSG00000103494,ENSG00000170558,chr18:52500000:53000000,ENSG00000101680,ENSG00000173482,ENSG00000116132,ENSG00000121454,ENSG00000172260,ENSG00000143032,ENSG00000214078,ENSG00000154645,ENSG00000154654,ENSG00000128709,ENSG00000128710,ENSG00000078018,ENSG00000134121,ENSG00000170017,ENSG00000169760,ENSG00000073803,ENSG00000174013,ENSG00000180370,ENSG00000144724,ENSG00000169855,ENSG00000080224,ENSG00000174607,ENSG00000170390,ENSG00000164107,ENSG00000145242,ENSG00000134986,ENSG00000091010,ENSG00000168621,ENSG00000081189,ENSG00000112367,ENSG00000196569,ENSG00000135541,ENSG00000153292,ENSG00000112697,ENSG00000184486,ENSG00000189056,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000157240,ENSG00000105880,ENSG00000176406,ENSG00000147650,ENSG00000156687,ENSG00000041982,ENSG00000078725,ENSG00000137055,ENSG00000153707"
"GO:BP","neuron differentiation","GO:0030182","false","0.00031180485173289575","3.5061171314036526","1434","656","81","21017","ENSG00000108061,ENSG00000148516,ENSG00000099250,ENSG00000150093,ENSG00000165323,ENSG00000149972,ENSG00000186298,ENSG00000204852,ENSG00000188906,ENSG00000067715,ENSG00000139304,ENSG00000139220,ENSG00000139687,ENSG00000150361,ENSG00000168348,ENSG00000139915,ENSG00000165588,ENSG00000126778,ENSG00000072415,ENSG00000021645,ENSG00000165533,ENSG00000182636,ENSG00000069667,ENSG00000171956,ENSG00000103494,ENSG00000170558,chr18:52500000:53000000,ENSG00000196628,ENSG00000101680,ENSG00000173482,ENSG00000116132,ENSG00000121454,ENSG00000172260,ENSG00000143032,ENSG00000214078,ENSG00000154645,ENSG00000154654,ENSG00000128645,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000078018,ENSG00000134121,ENSG00000170017,ENSG00000169760,ENSG00000073803,ENSG00000174013,ENSG00000180370,ENSG00000144724,ENSG00000169855,ENSG00000080224,ENSG00000174607,ENSG00000170390,ENSG00000164107,ENSG00000145242,ENSG00000134986,ENSG00000091010,ENSG00000168621,ENSG00000081189,ENSG00000112367,ENSG00000196569,ENSG00000135541,ENSG00000153292,ENSG00000153162,ENSG00000112697,ENSG00000196586,ENSG00000184486,ENSG00000189056,ENSG00000006468,ENSG00000158321,ENSG00000075213,ENSG00000170381,ENSG00000157240,ENSG00000105880,ENSG00000176406,ENSG00000147650,ENSG00000156687,ENSG00000041982,ENSG00000078725,ENSG00000137055,ENSG00000153707"
"GO:BP","animal organ morphogenesis","GO:0009887","false","0.00034318845472716404","3.4644673307668725","1037","656","64","21017","ENSG00000150593,ENSG00000203867,ENSG00000077943,ENSG00000148516,ENSG00000099250,ENSG00000150347,ENSG00000165323,ENSG00000111245,ENSG00000069431,ENSG00000121361,ENSG00000188906,ENSG00000139263,ENSG00000111046,ENSG00000111049,ENSG00000139304,ENSG00000197614,ENSG00000100625,ENSG00000126778,ENSG00000184302,ENSG00000165533,ENSG00000248905,ENSG00000159251,ENSG00000103494,ENSG00000170558,ENSG00000141431,ENSG00000198796,ENSG00000101680,ENSG00000173482,ENSG00000128791,ENSG00000116132,ENSG00000121454,ENSG00000180875,ENSG00000153936,ENSG00000163092,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000128713,ENSG00000128714,ENSG00000170166,ENSG00000175879,ENSG00000135914,ENSG00000077092,ENSG00000169855,ENSG00000109705,ENSG00000164161,ENSG00000164107,ENSG00000138829,ENSG00000091010,ENSG00000176788,ENSG00000168621,ENSG00000070193,ENSG00000081189,ENSG00000135541,ENSG00000096696,ENSG00000153162,ENSG00000196586,ENSG00000157240,ENSG00000006377,ENSG00000105880,ENSG00000169946,ENSG00000170961,ENSG00000156103,ENSG00000041982"
